Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award,Cluster
28143,0,1,1,1,174,1,0,0,7000,0,2
19244,0,1,1,1,215,2,0,0,6968,0,2
41354,0,1,1,1,4123,4,0,0,7034,0,2
14776,0,1,1,1,500,1,0,0,6952,0,2
97752,0,4,1,1,43300,26,2077,4,6935,1,1
16420,0,1,1,1,0,0,0,0,6942,0,2
84914,0,3,1,1,27482,25,0,0,6994,0,1
20856,0,1,1,1,5250,4,250,1,6938,1,2
443003,0,3,2,1,1753,43,3850,12,6948,1,0
104860,0,3,1,1,28426,28,1150,3,6931,1,1
40091,0,2,1,1,7278,10,0,0,6959,0,2
96522,0,5,1,1,61105,19,0,0,6924,1,1
43382,0,2,1,1,11150,20,0,0,6924,0,2
43097,0,1,1,1,3258,6,0,0,6918,0,2
17648,0,1,1,1,0,0,0,0,6912,0,2
28495,0,4,1,1,49442,15,0,0,6912,1,1
51890,0,4,1,1,48963,16,0,0,6910,1,1
13958,0,1,1,1,4291,5,0,0,6905,1,2
91473,0,3,1,1,27408,17,0,0,6903,1,1
23354,0,3,1,1,10447,5,0,0,6896,1,2
120576,0,5,1,1,58831,23,250,2,6896,1,1
185681,2024,1,1,1,13300,16,1800,9,6896,1,2
20584,0,1,1,1,3450,11,3450,11,6884,0,2
66275,0,1,1,1,2533,11,150,1,6884,0,2
205651,500,1,1,1,4025,21,700,4,7932,0,2
20726,0,1,1,1,1375,4,0,0,7924,0,2
18521,0,1,1,1,1227,2,1227,2,7917,0,2
8828,0,1,1,1,0,0,0,0,7914,0,2
59763,0,3,1,1,33772,20,100,1,7907,1,1
19221,0,1,1,1,4655,8,500,1,7896,1,2
177926,0,3,1,1,20797,13,0,0,7886,0,2
10021,0,1,1,1,0,0,0,0,7879,0,2
276571,0,4,1,1,42044,23,0,0,7872,0,1
18047,0,1,1,1,100,1,0,0,7868,0,2
43832,0,1,1,1,0,0,0,0,7865,0,2
123759,0,4,1,1,50572,23,2500,5,7865,1,1
23193,0,1,1,1,650,4,550,3,7861,1,2
68666,0,1,1,1,350,2,350,2,7861,0,2
59990,0,3,1,1,27878,17,0,0,7854,1,1
2176,0,1,1,1,0,0,0,0,7847,1,2
34616,0,1,1,1,1750,4,500,1,7850,0,2
10470,0,4,1,1,38094,26,0,0,7840,1,1
60313,0,1,1,1,10000,26,3250,9,7829,1,0
619393,0,3,1,1,15008,14,0,0,7819,1,1
121260,0,3,1,1,18493,18,0,0,7808,0,2
288865,967,1,1,1,23600,14,2000,4,6884,1,2
92336,0,2,1,1,11214,6,0,0,6884,0,2
36924,0,1,1,1,5900,6,300,2,6879,1,2
70312,0,3,1,1,34678,24,500,1,6875,1,1
17051,0,1,1,1,1150,4,1150,4,6868,0,2
108137,0,1,1,1,6368,5,6368,5,6844,0,2
1300,0,1,1,1,370,1,0,0,6868,0,2
118531,0,4,1,1,44577,38,0,0,6868,1,1
121395,0,1,1,1,4970,8,650,2,6889,1,2
38348,0,1,1,1,0,0,0,0,6861,0,2
14448,0,1,1,1,1625,6,0,0,6856,0,2
75971,0,4,1,1,34339,14,0,0,6869,0,1
36298,0,1,1,1,3100,5,600,3,6865,1,2
38077,0,3,1,1,34024,8,0,0,6837,0,2
95118,0,3,1,1,23188,23,2200,7,6865,1,1
134457,0,3,1,1,15588,14,0,0,6861,0,2
19918,0,1,1,1,17601,11,0,0,6863,0,2
10120,0,1,1,1,0,0,0,0,6864,0,2
362642,0,1,1,1,28079,8,0,0,6835,0,2
80250,0,1,1,1,895,2,0,0,6833,0,2
53914,0,3,1,1,33767,45,5550,29,6826,1,0
9375,0,1,1,1,1750,7,0,0,6826,0,2
83237,0,4,1,1,35287,18,0,0,6837,0,1
230715,0,3,1,1,24047,12,0,0,6826,1,1
47457,0,3,1,1,12621,16,0,0,7766,1,2
84409,5031,2,1,1,15436,16,1150,4,7766,0,2
252386,0,4,1,1,39787,13,0,0,7787,0,1
550367,0,3,1,1,12500,13,50,1,7801,0,1
12646,0,1,1,1,631,4,631,4,7787,0,2
123867,0,3,1,1,25308,17,0,0,7759,0,2
129871,0,3,1,1,15776,22,0,0,7752,0,2
109380,0,1,1,1,7537,16,0,0,7749,0,2
111157,0,4,1,1,32883,19,0,0,7771,0,1
49238,0,4,1,1,38037,18,0,0,7801,1,1
38896,0,5,1,1,76988,16,556,1,7771,1,1
4340,0,1,1,1,32685,5,0,0,7733,1,2
88443,0,1,1,1,1200,3,1200,3,6837,0,2
8454,0,1,1,1,498,9,0,0,6821,0,2
61990,0,1,1,1,1625,6,0,0,6833,0,2
24093,0,1,1,1,1750,7,0,0,6819,0,2
35418,0,5,1,1,58557,18,900,3,6813,1,1
40284,0,1,1,1,7719,5,0,0,6827,1,2
609477,0,3,1,1,21422,22,1200,8,6820,0,1
62553,0,2,1,1,7672,16,700,1,6819,0,2
48433,0,1,1,1,3500,4,500,1,6807,1,2
20508,0,1,1,1,22250,8,1250,5,6794,1,2
2000,0,1,1,1,2000,4,2000,4,6809,0,2
78629,0,4,1,1,36679,25,0,0,6817,1,1
143566,0,1,1,1,5000,5,1500,3,6785,1,2
185549,0,5,1,1,110859,39,2950,16,6778,1,0
16796,0,1,1,1,2875,16,0,0,6773,0,2
57346,0,1,1,1,5560,23,0,0,6766,0,2
102062,0,4,1,1,44247,16,0,0,6758,0,1
22324,0,1,1,1,1375,4,0,0,6753,0,2
64824,0,3,1,1,20184,13,0,0,6770,1,1
25076,1182,5,1,1,57203,14,0,0,6750,1,1
8053,0,1,1,1,0,0,0,0,6750,1,2
35119,0,1,1,1,0,0,0,0,6749,0,2
28667,0,1,1,1,3861,7,2050,5,6749,1,2
34327,0,1,1,1,0,0,0,0,6745,0,2
3734,0,5,1,1,61096,18,150,2,6760,1,1
96627,1182,1,1,3,49059,26,2300,9,6738,1,1
43498,0,1,1,1,0,0,0,0,6759,1,2
84674,0,4,1,1,46335,14,50,1,6738,1,1
15098,0,4,1,1,32917,26,550,3,6737,1,1
181019,0,3,1,1,18415,15,0,0,7714,0,2
298911,0,1,1,1,8550,11,2550,8,7714,1,2
124198,0,5,1,1,66330,23,4833,10,7710,0,0
56906,0,1,1,1,2015,13,0,0,7707,1,2
295638,0,1,1,1,5422,20,818,2,7700,1,2
67018,0,3,1,1,23260,25,0,0,7698,0,1
143967,0,2,1,1,7346,11,0,0,7689,0,2
969559,0,1,1,1,2500,3,1000,2,7718,1,1
122705,0,3,1,1,24222,15,0,0,7682,1,1
16583,0,1,1,1,2625,7,0,0,7682,1,2
77540,0,1,1,1,1000,1,0,0,7683,0,2
205126,0,5,1,1,126630,45,2250,10,7668,1,1
81974,0,4,1,1,37266,18,1050,3,7661,1,1
47258,0,3,1,1,24768,19,0,0,7659,1,1
77699,0,4,1,1,42775,13,0,0,7654,0,1
133954,500,4,1,1,37670,18,1500,3,7654,1,1
602064,0,5,1,1,194753,26,2250,10,7652,1,1
213150,0,4,1,1,56308,41,5200,14,7645,1,0
48333,0,2,1,1,10123,14,0,0,6737,1,2
142175,0,4,1,1,37461,22,0,0,6732,1,1
17469,0,1,1,1,0,0,0,0,6730,1,2
19823,0,1,1,1,1095,3,335,1,6730,1,2
145074,0,1,1,1,8000,4,0,0,6746,1,2
101101,0,1,1,1,10850,11,1850,6,6725,1,2
125948,0,3,1,1,15155,15,0,0,6761,1,1
259484,1776,1,1,1,19172,26,7172,23,6723,1,0
129298,0,4,1,1,29099,15,0,0,6722,0,1
103302,0,4,1,1,53552,22,700,3,6718,1,1
160447,0,1,1,1,8578,25,0,0,6716,1,2
15472,0,1,1,1,3500,14,0,0,6715,0,2
39628,0,1,1,1,0,0,0,0,6711,0,2
6112,0,1,1,1,0,0,0,0,6709,0,2
31769,0,1,1,1,450,2,450,2,6707,0,2
126787,0,4,1,1,35021,17,0,0,6701,0,1
41547,0,3,1,1,16857,17,0,0,6697,0,2
100640,0,1,1,1,7600,8,1600,5,6708,1,2
18707,0,1,1,1,100,1,0,0,6693,0,2
50593,0,5,1,1,58208,17,1500,2,6689,1,1
84631,0,3,1,1,20415,17,0,0,6736,0,2
24868,0,1,1,1,205,5,0,0,6689,0,2
77097,0,4,1,1,42403,22,1718,4,6683,1,1
930410,0,5,1,1,211284,18,2250,6,7640,1,1
298121,0,5,1,1,60808,20,500,1,7640,0,1
87474,0,1,1,1,4581,15,0,0,7634,0,2
48707,0,4,1,1,37655,14,0,0,7631,1,1
220081,0,4,1,1,52574,21,500,1,7626,0,1
212976,0,3,1,1,19926,12,0,0,7624,0,2
44182,0,3,1,1,12313,12,0,0,7619,1,2
228829,0,5,1,1,59852,21,0,0,7612,1,1
46823,0,1,1,1,5860,12,0,0,7613,0,2
69110,0,3,1,1,18500,19,0,0,7598,0,2
120700,0,5,1,1,55323,17,1500,1,7598,1,1
152945,0,1,1,1,18604,6,3604,2,7598,1,2
10302,0,4,1,1,30298,19,0,0,7591,1,1
80331,0,3,1,1,15489,18,0,0,7634,1,1
69882,0,1,1,1,180,6,0,0,7582,0,2
95658,0,1,1,1,5269,18,0,0,7584,0,2
402874,0,5,1,1,74800,15,0,0,7582,1,1
370941,0,4,1,1,44615,16,0,0,7577,1,1
21694,0,4,1,1,45230,20,700,2,7575,1,1
71767,0,5,1,1,67335,13,0,0,7570,1,1
35820,0,1,1,1,0,0,0,0,7575,0,2
352508,0,3,1,1,23740,6,1000,2,7563,1,1
149285,0,1,1,1,15656,13,3250,6,7561,1,2
120941,0,4,1,1,42301,21,0,0,7588,0,1
451673,0,4,1,1,43533,19,900,4,7575,1,1
106961,0,1,1,1,7357,19,200,2,7572,1,2
28086,1745,2,1,1,7368,12,0,0,7549,1,2
60230,0,1,1,1,500,1,0,0,7544,1,2
6663,0,1,1,1,1125,7,750,4,7575,1,2
48145,0,1,1,1,10735,27,0,0,7540,0,2
127807,0,3,1,1,17086,16,1500,3,7537,1,1
32948,0,1,1,1,50,1,50,1,7569,0,2
8933,0,2,1,1,8860,14,0,0,7533,1,2
49885,0,3,1,1,23640,17,0,0,7533,0,2
89999,0,3,1,1,11694,13,0,0,7530,0,2
707079,0,4,1,1,57173,40,3450,12,7523,1,0
211595,0,1,1,1,3250,8,0,0,7521,0,2
410795,0,5,1,1,73679,31,0,0,7514,0,1
72173,0,1,1,1,2954,13,232,1,7509,0,2
123516,0,5,1,1,240544,31,500,2,7507,1,1
143080,733,4,1,1,44373,38,3928,17,7575,1,0
386061,0,5,1,1,107813,24,0,0,7500,1,1
52738,2398,1,1,1,0,0,0,0,7498,0,2
24523,0,1,1,1,100,1,0,0,7493,1,2
134601,0,1,1,1,0,0,0,0,7493,0,2
32742,0,5,1,1,61857,26,0,0,7488,1,1
108341,0,3,1,1,19670,21,0,0,7488,0,2
8669,0,1,3,1,11397,16,0,0,7486,1,2
118940,0,4,1,1,36001,17,150,1,7484,1,1
41385,0,4,1,1,26948,14,0,0,7481,1,1
28621,0,2,1,1,13878,20,1400,10,7479,1,2
16230,0,1,1,1,486,2,0,0,7477,0,2
152881,0,5,1,1,79687,18,500,1,7474,1,1
37348,0,1,1,1,0,0,0,0,7472,0,2
51468,0,1,1,1,2278,9,0,0,7460,0,2
95989,0,5,1,1,92159,30,1329,4,7518,1,1
23184,1250,1,1,1,3694,12,1150,3,7467,1,2
27381,0,3,1,1,18009,18,0,0,7524,1,1
6854,0,1,1,1,0,0,0,0,7467,0,2
201346,0,5,1,1,99612,34,600,4,7463,1,1
31588,0,1,1,1,2947,8,0,0,7463,0,2
204582,0,1,1,1,4671,14,0,0,7498,0,2
8298,0,3,1,1,20087,15,0,0,7498,1,1
10097,0,1,1,1,2700,1,2700,1,7498,0,2
114356,0,4,1,1,27308,14,0,0,7456,0,1
1344,0,1,1,1,1134,9,0,0,7498,0,2
59797,0,1,1,1,7069,4,0,0,7444,0,2
189053,0,3,1,1,24156,22,0,0,7439,1,1
143481,0,4,1,1,45891,15,0,0,7437,0,1
1302051,2706,5,1,1,90653,32,3050,7,7467,1,0
229744,0,5,1,1,68754,35,550,2,7467,1,1
75039,0,1,1,1,2750,10,250,1,7435,1,2
20203,0,1,1,1,750,6,0,0,7467,0,2
193976,0,3,1,1,10849,14,0,0,7416,0,2
98224,0,2,1,1,5570,11,0,0,7467,0,2
117329,0,1,2,1,6448,11,0,0,7416,1,2
119239,0,4,1,1,36362,15,250,1,7467,1,1
53715,0,2,1,1,7164,15,300,2,7416,0,2
153747,0,5,1,1,58689,15,0,0,7409,0,1
133309,0,3,1,1,23987,13,0,0,7415,1,1
81380,0,5,1,1,56524,22,0,0,7404,1,1
22074,0,1,1,1,6039,15,0,0,7404,0,2
24051,0,2,1,1,8764,13,0,0,7395,1,2
11449,0,2,1,1,9057,13,0,0,7397,1,2
182317,0,2,1,1,19489,17,273,1,7397,1,1
46184,0,1,1,1,3125,12,500,1,7388,0,2
285116,0,1,1,1,8471,18,500,1,7406,1,2
30962,0,5,1,1,97683,37,6400,18,7360,1,0
15525,0,1,1,1,3853,6,0,0,7406,0,2
163530,0,5,1,1,88987,25,0,0,7406,0,1
2075,0,2,1,1,5002,14,0,0,7374,1,2
227881,0,4,1,1,41186,13,0,0,7369,0,1
118934,0,5,1,1,66222,37,2250,17,7354,0,0
468175,0,5,1,1,141615,22,0,0,7348,1,1
12526,0,4,1,1,56076,19,3850,11,7375,1,0
176090,0,1,1,1,5300,9,2200,6,7344,0,2
15221,0,1,1,1,4425,9,0,0,7361,1,2
92875,0,5,1,1,60990,14,0,0,7344,1,1
88702,0,2,1,1,9620,13,50,1,7406,0,2
62882,0,1,1,1,1925,8,0,0,7375,0,2
30015,0,1,1,1,5875,32,0,0,7341,0,2
87293,0,3,1,1,21584,17,1050,2,7406,0,2
45225,0,3,1,1,14711,15,0,0,7339,1,1
96098,0,1,1,1,12500,4,0,0,7339,1,2
236274,0,5,1,1,61515,12,0,0,7375,0,1
423540,0,1,1,1,8534,14,2100,9,7375,0,2
25279,0,2,1,1,14938,26,0,0,7327,1,2
198137,0,1,1,1,6303,6,500,1,7323,0,2
402312,0,5,1,1,77122,18,250,3,7375,1,1
149733,0,1,1,1,605,3,500,1,7323,0,2
70730,0,1,1,1,1319,12,0,0,7316,0,2
164613,0,2,1,1,11095,13,0,0,7375,0,2
47557,0,2,1,1,10267,18,200,3,7345,0,2
35065,0,1,1,1,5400,5,1400,3,7311,1,2
105769,0,3,1,1,23097,16,0,0,7345,1,1
35900,0,1,1,1,0,0,0,0,7304,0,2
43088,0,1,1,1,4000,1,0,0,7345,0,2
58703,0,4,1,1,46473,34,950,4,7296,1,1
70354,0,5,1,1,120907,22,0,0,7290,1,1
145726,0,3,1,1,19019,15,0,0,7292,1,1
121639,0,5,1,1,67286,7,0,0,7288,1,1
70676,0,5,1,1,74993,15,0,0,7288,1,1
18263,0,1,1,1,2100,4,1000,2,7285,0,2
